"Qty";"Value";"Device";"Package";"Parts";"Description";"ASSEMBLE";"DESCRIPTION";"FOOTPRINT";"LINK";"MFG";"MFG_PN";"PART_TYPE";"PRICE";"TOLLERANCE";"VENDOR";"VENDOR_PART_NUMBER";
"1";"";"SJ2W";"SJ_2";"JP1";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";
"3";"1.1k";"R-EU_R0805";"R0805";"R2, R7, R13";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"2";"120";"R-EU_R0805";"R0805";"R17, R18";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"17.4K";"R-EU_R0805";"R0805";"R11";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"2";"2.1k";"R-EU_R0805";"R0805";"R3, R14";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"2.2k";"R-EU_R0805";"R0805";"R8";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"2X20-CHIP-HEADERS";"2X20-CHIP-HEADERS";"2X20CHIP_SM";"J1";"Through hole layout with chip reference";"";"";"";"";"";"";"";"";"";"";"";
"3";"4.3k";"R-EU_R0805";"R0805";"R4, R9, R15";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"2";"4.7K";"R-EU_R0805";"R0805";"R22, R23";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"4.7k";"R-EU_R0805";"R0805";"R19";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"3";"499";"R-EU_R0805";"R0805";"R1, R6, R12";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"8.66K";"R-EU_R0805";"R0805";"R10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"2";"8.66k";"R-EU_R0805";"R0805";"R5, R16";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"5";"BAT54S";"BAT54S";"SOT23-BEC";"D1, D2, D3, D4, D5";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"DB15";"DB15";"DB15";"U$1";"DB15 / VGA right angle through-hole female connector.";"";"";"";"";"";"";"";"";"";"";"";
"2";"DNP";"R-EU_R0805";"R0805";"R20, R21";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"DS2431P";"DS2431P";"TSOC6";"U1";"1024-Bit EEPROM";"";"IC, 1024-Bit, 1-Wire EEPROM, TSOC6";"TSOC6";"http://www.digikey.com/product-detail/en/DS2431P%2BT%26R/DS2431P%2BT%26RCT-ND/3647900";"DIGIKEY";"DS2431P+T&RCT-ND";"IC";"0.98";"";"MAXIM";"DS2431P+T&R";
"1";"ES2D";"ES2D";"SMB";"D6";"DIODE";"";"";"";"";"";"";"";"";"";"";"";
"1";"LOGO_10X10_SILK";"LOGO_10X10_SILK";"LOGO_10X10_SILK";"U$6";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LOGO_3X3_COPPER";"LOGO_3X3_COPPER";"LOGO_3X3_COPPER";"U$5";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MP1584EN";"MP1584EN";"MP1584EN";"U$9";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TACTILE-SWITCH-434333045822SIDE_W_MOUNT";"TACTILE-SWITCH-434333045822SIDE_W_MOUNT";"TACTILE-SWITCH-K2-1114UA-AW";"SW";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"USBUSB-MICROB-SMT-DIP";"USBUSB-MICROB-SMT-DIP";"USB-MICROB-SMT-DIP";"USB";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"WIREPAD3,17/1,3";"WIREPAD3,17/1,3";"3,17/1,3";"GND, VIN";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";
